created_date,product,city,repeat_status,repeat_count
2019-01-01,Tunaiku_PDF,Jakarta,New,140
2019-01-02,Tunaiku_PDF,Jakarta,New,120
2019-01-03,Tunaiku_PDF,Jakarta,New,146
2019-01-04,Tunaiku_PDF,Jakarta,New,143
2019-01-05,Tunaiku_PDF,Jakarta,New,59
2019-01-06,Tunaiku_PDF,Jakarta,New,66
2019-01-07,Tunaiku_PDF,Jakarta,New,134
2019-01-08,Tunaiku_PDF,Jakarta,New,133
2019-01-09,Tunaiku_PDF,Jakarta,New,139
2019-01-10,Tunaiku_PDF,Jakarta,New,122
2019-01-11,Tunaiku_PDF,Jakarta,New,145
2019-01-12,Tunaiku_PDF,Jakarta,New,87
2019-01-13,Tunaiku_PDF,Jakarta,New,81
2019-01-14,Tunaiku_PDF,Jakarta,New,153
2019-01-15,Tunaiku_PDF,Jakarta,New,148
2019-01-16,Tunaiku_PDF,Jakarta,New,127
2019-01-17,Tunaiku_PDF,Jakarta,New,145
2019-01-18,Tunaiku_PDF,Jakarta,New,118
2019-01-19,Tunaiku_PDF,Jakarta,New,89
2019-01-20,Tunaiku_PDF,Jakarta,New,81
2019-01-21,Tunaiku_PDF,Jakarta,New,134
2019-01-22,Tunaiku_PDF,Jakarta,New,131
2019-01-23,Tunaiku_PDF,Jakarta,New,165
2019-01-24,Tunaiku_PDF,Jakarta,New,138
2019-01-25,Tunaiku_PDF,Jakarta,New,128
2019-01-26,Tunaiku_PDF,Jakarta,New,78
2019-01-27,Tunaiku_PDF,Jakarta,New,87
2019-01-28,Tunaiku_PDF,Jakarta,New,144
2019-01-29,Tunaiku_PDF,Jakarta,New,151
2019-01-30,Tunaiku_PDF,Jakarta,New,153
2019-01-31,Tunaiku_PDF,Jakarta,New,178
2019-02-01,Tunaiku_PDF,Jakarta,New,129
2019-02-02,Tunaiku_PDF,Jakarta,New,77
2019-02-03,Tunaiku_PDF,Jakarta,New,75
2019-02-04,Tunaiku_PDF,Jakarta,New,149
2019-02-05,Tunaiku_PDF,Jakarta,New,164
2019-02-06,Tunaiku_PDF,Jakarta,New,144
2019-02-07,Tunaiku_PDF,Jakarta,New,128
2019-02-08,Tunaiku_PDF,Jakarta,New,123
2019-02-09,Tunaiku_PDF,Jakarta,New,89
2019-02-10,Tunaiku_PDF,Jakarta,New,90
2019-02-11,Tunaiku_PDF,Jakarta,New,148
2019-02-12,Tunaiku_PDF,Jakarta,New,133
2019-02-13,Tunaiku_PDF,Jakarta,New,150
2019-02-14,Tunaiku_PDF,Jakarta,New,144
2019-02-15,Tunaiku_PDF,Jakarta,New,140
2019-02-16,Tunaiku_PDF,Jakarta,New,91
2019-02-17,Tunaiku_PDF,Jakarta,New,503
2019-02-18,Tunaiku_PDF,Jakarta,New,151
2019-02-19,Tunaiku_PDF,Jakarta,New,146
2019-02-20,Tunaiku_PDF,Jakarta,New,151
