customer_id,city,latitude,longitude,product,income,default_flag
1,Tangerang,-6.264432,106.646964,Tunaiku_PDF,2200000.0,0
2,Tangerang,-6.231288,106.605979,Tunaiku_PDF,5300000.0,0
3,Tangerang,-6.137643,106.714493,Tunaiku_PDF,7100000.0,0
4,Medan,3.72426,98.728448,Tunaiku_PDF,2000000.0,1
5,Bekasi,-6.261424,107.001974,Senyumku_Savings,4500000.0,0
6,Tangerang,-6.175391,106.56897,SMB_Loan,3900000.0,0
7,Jakarta,-6.173893,106.853219,SMB_Loan,6200000.0,0
8,Tangerang,-6.290833,106.581546,Tunaiku_PDF,2300000.0,0
9,Depok,-6.317195,106.740055,Senyumku_Savings,4700000.0,0
10,Bekasi,-6.320735,106.905972,Tunaiku_PDF,3100000.0,0
11,Bandung,-6.902608,107.643425,Tunaiku_PDF,2100000.0,0
12,Jakarta,-6.252423,106.803693,Tunaiku_PDF,2200000.0,0
13,Jakarta,-6.106867,106.885643,SMB_Loan,2200000.0,0
14,Bogor,-6.592295,106.905296,Tunaiku_PDF,2900000.0,0
15,Jakarta,-6.082183,106.794388,Tunaiku_PDF,4200000.0,0
16,Bogor,-6.632417,106.784835,Tunaiku_PDF,2200000.0,0
17,Bandung,-7.00166,107.623032,Tunaiku_PDF,4600000.0,0
18,Bogor,-6.629605,106.787396,SMB_Loan,8300000.0,0
19,Semarang,-6.991282,110.398375,Tunaiku_PDF,5700000.0,0
20,Jakarta,-6.169534,106.78156,Senyumku_Savings,5300000.0,0
21,Jakarta,-6.23754,106.782915,Tunaiku_PDF,6300000.0,0
22,Semarang,-6.984945,110.355117,Tunaiku_PDF,6200000.0,0
23,Depok,-6.446225,106.81288,SMB_Loan,3700000.0,0
24,Bandung,-6.965765,107.694937,Tunaiku_PDF,6000000.0,0
25,Depok,-6.425134,106.863853,Tunaiku_PDF,7100000.0,0
26,Bekasi,-6.205388,107.009915,Tunaiku_PDF,3000000.0,0
27,Bekasi,-6.284858,106.990451,Tunaiku_PDF,6900000.0,0
28,Bekasi,-6.276169,107.089587,SMB_Loan,5100000.0,1
29,Bekasi,-6.255293,106.947452,Tunaiku_PDF,4500000.0,0
30,Tangerang,-6.146949,106.590631,Tunaiku_PDF,3100000.0,1
31,Jakarta,-6.232969,106.756253,Tunaiku_PDF,3600000.0,1
32,Jakarta,-6.163525,107.019254,SMB_Loan,4600000.0,0
33,Jakarta,-6.231585,106.904303,Tunaiku_PDF,4600000.0,0
34,Jakarta,-6.158305,106.871616,Tunaiku_PDF,10400000.0,0
35,Jakarta,-6.194553,106.800981,Tunaiku_PDF,4400000.0,0
36,Jakarta,-6.263397,106.75636,SMB_Loan,4100000.0,1
37,Bekasi,-6.234682,106.885848,Senyumku_Savings,5500000.0,1
38,Bogor,-6.578531,106.844796,Tunaiku_PDF,5000000.0,0
39,Semarang,-7.017542,110.44995,Tunaiku_PDF,2000000.0,0
40,Medan,3.639176,98.67392,Tunaiku_PDF,13300000.0,1
41,Jakarta,-6.343178,106.844848,Tunaiku_PDF,3300000.0,0
42,Jakarta,-6.201306,106.877397,Senyumku_Savings,4500000.0,0
43,Semarang,-6.991431,110.408694,SMB_Loan,7700000.0,0
44,Tangerang,-6.154777,106.680743,Tunaiku_PDF,4900000.0,0
45,Semarang,-7.075137,110.539442,Senyumku_Savings,4300000.0,0
46,Bekasi,-6.246309,106.898633,Tunaiku_PDF,13500000.0,0
47,Jakarta,-6.240883,106.877563,SMB_Loan,3000000.0,0
48,Bandung,-6.912626,107.536996,Tunaiku_PDF,3200000.0,0
49,Tangerang,-6.236747,106.660017,Tunaiku_PDF,7400000.0,0
50,Semarang,-6.940564,110.321638,Tunaiku_PDF,3000000.0,0
51,Semarang,-7.020321,110.440393,Senyumku_Savings,4300000.0,1
52,Semarang,-6.956684,110.308726,Tunaiku_PDF,12400000.0,0
53,Semarang,-6.970806,110.366184,Tunaiku_PDF,4200000.0,0
