app_id,customer_id,submit_ts,latitude,longitude,loan_amount
1,236,2026-06-04 22:09:38,-7.249066,112.78572,12900000.0
2,5193,2026-05-21 22:57:44,-6.582136,106.816158,4700000.0
3,906,2026-04-24 09:14:51,-6.166022,106.838169,3400000.0
4,7814,2026-03-12 13:44:57,-6.122912,107.020583,6500000.0
5,2896,2026-05-30 06:17:34,-6.510669,106.828406,6200000.0
6,5057,2026-04-06 11:01:13,3.53779,98.503289,7800000.0
7,145,2026-05-07 12:07:33,-6.905046,107.62555,4000000.0
8,4226,2026-03-22 00:39:01,-6.268377,106.942173,4300000.0
9,7752,2026-04-07 10:27:03,-6.297602,106.685505,7200000.0
10,3463,2026-05-16 22:31:11,-6.264173,106.833029,3900000.0
11,9395,2026-03-20 00:02:50,-6.244425,106.848768,7700000.0
12,5397,2026-06-06 15:09:10,-6.289841,106.804788,3600000.0
13,5375,2026-03-13 05:50:11,-7.220056,112.757058,4600000.0
14,2963,2026-05-24 07:24:16,-6.601919,106.759307,4300000.0
15,2517,2026-03-06 12:52:01,-7.050641,107.592885,4100000.0
16,8445,2026-05-12 10:52:13,-6.374176,106.74849,5800000.0
17,3563,2026-05-14 08:23:46,-6.982892,110.426027,7900000.0
18,4765,2026-03-05 03:34:50,-6.186296,106.902157,5700000.0
19,8094,2026-02-03 00:57:07,-6.261413,106.844999,6800000.0
20,6543,2026-01-12 22:15:23,-6.2544,106.807288,6300000.0
21,563,2026-06-05 08:00:00,-6.888095,110.435691,9600000.0
22,8152,2026-04-17 02:51:16,-7.0276,107.550584,9100000.0
23,3050,2026-06-26 02:48:56,-6.138274,106.990376,5100000.0
24,754,2026-01-09 09:17:12,-6.38642,106.724761,11600000.0
25,9720,2026-03-28 06:13:56,-6.385993,106.730296,2500000.0
26,1889,2026-06-08 10:30:43,-6.133342,106.826521,4700000.0
27,1111,2026-04-07 07:54:36,-6.227308,106.729236,2900000.0
28,6286,2026-06-11 09:50:48,-6.15186,106.679657,8000000.0
29,6122,2026-02-11 15:40:59,-6.915496,107.738556,10500000.0
30,1032,2026-01-05 01:15:51,-7.063926,110.437112,7600000.0
31,4416,2026-04-17 10:52:26,3.605912,98.617409,10800000.0
32,2878,2026-05-29 04:26:18,-6.666231,106.880623,5600000.0
33,3607,2026-03-21 09:06:18,-6.598027,106.767184,8000000.0
34,9530,2026-01-14 18:42:33,-7.229536,112.708254,8200000.0
35,2562,2026-04-07 19:15:50,3.482633,98.680656,6200000.0
36,8921,2026-05-24 21:00:59,-6.907853,107.502718,2900000.0
37,6772,2026-05-06 16:12:45,-6.519165,106.754152,17800000.0
38,432,2026-01-15 15:22:02,-6.16102,106.84565,10000000.0
39,4075,2026-06-04 10:38:00,-6.54678,106.745945,4400000.0
40,543,2026-02-20 10:20:18,-7.283816,112.776032,8000000.0
41,9288,2026-01-21 02:08:11,-6.298084,106.984103,4500000.0
42,1479,2026-05-01 06:00:07,-6.591603,106.866899,3300000.0
43,1338,2026-02-06 19:58:02,-6.966637,107.555838,6300000.0
44,7109,2026-04-19 14:54:05,-6.163753,106.728747,3000000.0
45,8690,2026-01-09 18:33:27,-7.270302,112.790429,2100000.0
46,1613,2026-04-17 09:11:13,-6.140833,106.903971,5400000.0
47,3099,2026-05-18 21:21:56,-6.203046,106.897662,3000000.0
48,1845,2026-05-10 22:38:50,-7.184647,112.779258,4500000.0
49,9553,2026-04-27 14:52:33,-7.047386,110.476209,3800000.0
50,2670,2026-03-03 18:09:22,-6.983452,110.483223,7200000.0
51,16,2026-04-17 08:27:29,-6.622104,106.784111,3800000.0
52,2245,2026-02-02 21:53:21,-6.990782,110.41606,4700000.0
53,7907,2026-03-16 18:54:53,-6.275252,106.793422,3100000.0
54,1307,2026-06-09 08:12:07,-6.20924,106.741329,6100000.0
55,9833,2026-05-01 18:32:34,-6.092123,106.787203,4100000.0
56,1047,2026-03-08 06:49:17,-6.148645,106.889844,13400000.0
57,3048,2026-04-12 17:37:13,-6.868505,107.650095,4400000.0
58,1151,2026-06-03 02:01:14,-6.132085,106.838767,4300000.0
59,9496,2026-01-20 18:29:32,-6.410452,106.73963,12000000.0
60,3429,2026-05-27 11:36:20,-6.237189,106.936357,3300000.0
61,156,2026-02-24 20:12:06,-6.217329,106.997999,11400000.0
62,4410,2026-04-20 22:38:43,-6.192032,107.005631,5700000.0
63,649,2026-04-06 21:20:21,-6.235311,106.770244,13000000.0
64,9505,2026-03-17 17:41:16,-6.261447,106.619639,4900000.0
65,7587,2026-04-18 16:56:31,-6.275431,106.956081,14200000.0
66,1680,2026-06-11 05:26:35,-6.158983,106.880487,6900000.0
67,7256,2026-05-24 02:25:45,-7.084602,110.495935,7100000.0
68,7962,2026-02-04 10:30:19,-7.116157,112.7386,2800000.0
69,4040,2026-02-20 10:10:12,-6.103776,106.906339,5500000.0
70,244,2026-03-27 00:51:55,-6.091986,106.64294,17600000.0
71,1373,2026-06-22 00:13:18,-7.302796,112.715238,5900000.0
72,1215,2026-01-17 17:56:02,-6.287215,106.850201,5000000.0
73,7471,2026-03-07 12:33:59,3.551057,98.680227,5400000.0
74,5025,2026-03-30 17:47:15,-6.90115,107.658514,6700000.0
75,5849,2026-03-17 13:04:17,-6.969411,110.402742,10900000.0
76,5272,2026-05-21 03:01:43,-6.230092,106.920583,2900000.0
77,4792,2026-03-07 05:34:22,-6.146213,106.665667,4200000.0
78,9538,2026-06-20 08:52:20,3.601019,98.788469,8900000.0
79,9988,2026-02-27 05:37:28,-6.274418,106.815084,6800000.0
80,2945,2026-06-20 16:24:38,-6.376624,106.880359,4300000.0
81,5374,2026-02-21 04:25:25,-6.250974,106.898008,5400000.0
